name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"UserAdapter$UserHolder.<init>(View)","com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder.<init>(android.view.View)",1,0,  ,42,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,38,65,N,"void UserAdapter$UserHolder.<init>(View)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder *this, class android.view.View *itemView)",7,0.86,0.70,2,2,38 39 40 41,1
"void UserAdapter$UserHolder.bind(User)","com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder.bind(com.liangfeizc.databinding.mod4B59",1,0,  ,26,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,43,65,N,"void void UserAdapter$UserHolder.bind(User)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder *this, class com.liangfeizc.databinding.model.User *user)",5,0.80,0.60,2,1,43 44 45,1
"UserAdapter.<init>()","com.liangfeizc.databinding.sample.dynamic.UserAdapter.<init>()",0,0,TO,334,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,27,65,N,"void UserAdapter.<init>()(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this)",16,0.00,0.85,0,6,,2
"int UserAdapter.getItemCount()","com.liangfeizc.databinding.sample.dynamic.UserAdapter.getItemCount():int",1,0,  ,32,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,61,65,N,"int int UserAdapter.getItemCount()(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this)",5,0.80,0.30,0,1,61 62,1
"void UserAdapter.onBindViewHolder(RecyclerView$ViewHolder,int)","com.liangfeizc.databinding.sample.dynamic.UserAdapter.onBindViewHolder(android.support.v7.widget.RecFAC3",0,0,  ,23,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,21,65,N,"void void UserAdapter.onBindViewHolder(RecyclerView$ViewHolder,int)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this, class android.support.v7.widget.RecyclerView$ViewHolder *x0, int x1)",5,0.00,0.70,0,4,,1
"void UserAdapter.onBindViewHolder(UserAdapter$UserHolder,int)","com.liangfeizc.databinding.sample.dynamic.UserAdapter.onBindViewHolder(com.liangfeizc.databinding.saCDE7",1,0,  ,46,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,56,65,N,"void void UserAdapter.onBindViewHolder(UserAdapter$UserHolder,int)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this, class com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder *holder, int position)",6,0.83,0.70,1,3,56 57 58,1
"UserAdapter$UserHolder UserAdapter.onCreateViewHolder(ViewGroup,int)","com.liangfeizc.databinding.sample.dynamic.UserAdapter.onCreateViewHolder(android.view.ViewGroup,int)0553",1,0,  ,76,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,49,65,N,"class com.liangfeizc.databinding.sample.dynamic.UserAdapter$UserHolder *UserAdapter$UserHolder UserAdapter.onCreateViewHolder(ViewGroup,int)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this, class android.view.ViewGroup *viewGroup, int i)",8,0.88,0.90,1,6,49 50 52,1
"RecyclerView$ViewHolder UserAdapter.onCreateViewHolder(ViewGroup,int)","com.liangfeizc.databinding.sample.dynamic.UserAdapter.onCreateViewHolder(android.view.ViewGroup,int)4D52",0,0,  ,28,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/dynamic/UserAdapter.java,21,65,N,"class android.support.v7.widget.RecyclerView$ViewHolder *RecyclerView$ViewHolder UserAdapter.onCreateViewHolder(ViewGroup,int)(class com.liangfeizc.databinding.sample.dynamic.UserAdapter *this, class android.view.ViewGroup *x0, int x1)",5,0.00,0.90,0,7,,1
"IncludeActivity.<init>()","com.liangfeizc.databinding.sample.includes.IncludeActivity.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/includes/IncludeActivity.java,12,26,N,"void IncludeActivity.<init>()(class com.liangfeizc.databinding.sample.includes.IncludeActivity *this)",5,0.80,0.30,0,1,12,1
"com.liangfeizc.databinding.sample.includes.IncludeActivity.InferGeneratedHarness()","com.liangfeizc.databinding.sample.includes.IncludeActivity.InferGeneratedHarness()",0,0,  ,56,0,/Users/rufi/github/liangfei/AndroidDataBinding/infer-out/sources/com.liangfeizc.databinding.sample.includes.IncludeActivity_InferGeneratedHarness.java,9,0,N,"void com.liangfeizc.databinding.sample.includes.IncludeActivity.InferGeneratedHarness()()",3,0.00,0.60,0,3,,1
